SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
Tampico-Gen F Javier Mina AirportTAM),Mexico,"(23.634501, -102.552784)",Mexico,"(22.2895781, -97.8690017)","Aeropuerto Tampico Tmps, Adolfo López Mateos 301, Nuevo Aeropuerto, 89337 Tampico, Tamps., Mexico",3968
near Umba,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(66.697186, 34.3350958)","Umba, Murmansk Oblast, Russia, 184701",3969
near Umba,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(66.697186, 34.3350958)","Umba, Murmansk Oblast, Russia, 184701",3970
"Everglades, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.745929, -80.5549561)","Everglades, Florida, USA",3971
Santa Maria de Otaez,Mexico,"(23.634501, -102.552784)",Mexico,"(24.6999199, -105.9957831)","Santa María de Otaez, Dgo., Mexico",3972
"Kenty Lake, QC",Canada,"(56.130366, -106.346771)",Canada,"(44.528144, -73.4069909)","Lake St, Port Kent, NY, USA",3973
near Haj Yousif,Sudan,"(12.862807, 30.217636)",Sudan,"(15.6419172, 32.6390489)","El- Haj Yousif, Sudan",3974
St. George Island Airport,United States of America,"(37.09024, -95.712891)",United States,"(29.6443487, -84.9152934)","St George Island Airport-F47, Long Point, Eastpoint, FL 32328, USA",3975
Quito-Mariscal Sucre AirportUIO),Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.1225875, -78.35855839999999)","Mariscal Sucre International Airport, Nuevo Aeropuerto Internacional de Quito, Tababela S/N - Via Yaruqui, Quito 17107032, Ecuador",3976
Meghauli AirportMEY),Nepal,"(28.394857, 84.12400799999999)",Nepal,"(27.5770069, 84.22886749999999)","Meghauli Airport (MEY), Narayani 44210, Nepal",3977
Palapala hills,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-6.369028, 34.888822)",Tanzania,3978
Davao-Mati AirportDVO),Philippines,"(12.879721, 121.774017)",Philippines,"(6.950245, 126.2724894)","Imelda R. Marcos Airport (MXI) (MXI), Mati, Davao Oriental, Philippines",3979
Zhuravka,Russia,"(61.52401, 105.318756)",Russia,"(48.9197285, 40.2549871)","Zhuravka, Rostovskaya oblast', Russia",3980
near Anadyrsky Liman,Russia,"(61.52401, 105.318756)",Russia,"(64.4175802, 177.9480139)","Anadyrsky Liman, Russia",3981
Kupang-El Tari AirportKOE),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-10.1675841, 123.6707993)","El Tari Kupang Int'l Airport (KOE), Jalan Adi Sucipto, Maulafa, Penfui, Maulafa, Kota Kupang, Nusa Tenggara Tim. 85361, Indonesia",3982
"Comodoro Rivadavia Airport, CBCRD)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-45.7894354, -67.4674984)","Airport Comodoro Rivadabia, Camino Vecinal Dr. Mariano González Km. 9, 9000 Comodoro Rivadavia, Chubut, Argentina",3983
"Currumbin, QLD",Australia,"(-25.274398, 133.775136)",Australia,"(-28.136, 153.483)","Currumbin QLD 4223, Australia",3984
Virgin Gorda AirportVIJ),British Virgin Islands,"(18.420695, -64.639968)",British Virgin Islands,"(18.4939059, -64.40228770000002)","Virgin Gorda, British Virgin Islands",3985
Nouadhibou,Mauritania,"(21.00789, -10.940835)",Mauritania,"(20.9425179, -17.0362272)","Nouadhibou, Mauritania",3986
 Matsu Airport,Taiwan,"(23.69781, 120.960515)",Taiwan,"(26.2243619, 120.0010243)","Matsu Beigan Airport (MFK), Lienchiang County",3987
Terrace,Canada,"(56.130366, -106.346771)",Canada,"(41.8695436, -88.0899235)","1055 College Ave, Wheaton, IL 60187, USA",3988
 Petropavlovsk-Kamchatsky,Russia,"(61.52401, 105.318756)",Russia,"(53.0409109, 158.6777259)","Petropavlovsk-Kamchatskiy, Kamchatka Krai, Russia",3989
Barisal Airport,Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(22.800146, 90.301199)","Barisal Airport (BZL), Dhaka - Barisal Hwy, Bangladesh",3990
Dubrovnik Airport,Croatia,"(45.1, 15.2)",Croatia,"(42.5611109, 18.268056)","Dubrovnik Airport (DBV), 20213, Čilipi, Croatia",3991
Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines",3992
near Villavicencio,Colombia,"(4.570868, -74.297333)",Colombia,"(4.1513822, -73.63769049999999)","Villavicencio, Meta, Colombia",3993
Derna-Martuba AirportDNF),Libya,"(26.3351, 17.228331)",Libya,"(32.5413303, 22.744676)","Matrubah (DNF), Matrubah, Libya",3994
Datadawai ,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(0.8080231999999999, 114.5294703)","Datah Dawai Airport, Long Lunuk, Long Pahangai, West Kutai Regency, East Kalimantan 75768, Indonesia",3995
at an unknown location,Iran,"(32.427908, 53.688046)",Iran,"(32.427908, 53.688046)",Iran,3996
Asmara International AirportASM),Eritrea,"(15.179384, 39.782334)",Eritrea,"(15.285, 38.901667)","Asmara,Eritrea International Airport (ASM), Hday St, Asmara, Ethiopia",3997
Belfast International AirportBFS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.661781, -6.2162444)","Belfast International Airport (BFS), Airport Rd, Belfast BT29 4AB, UK",3998
Kuli Papa,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(46.29562500000001, 17.374052)","Ötvöskónyi, Pápa u., 7511 Hungary",3999
near Njarðvík,Iceland,"(64.963051, -19.020835)",Iceland,"(63.9747338, -22.5201543)","Njardvik, Iceland",4000
El Obeid AirportEBD),Sudan,"(12.862807, 30.217636)",Sudan,"(13.159722, 30.234167)","El Obeid Airport (EBD), El Obeid, Sudan",4001
Soroako Airport,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-2.5309903, 121.357747)","Sorowako Airport (SQR), Magani, Nuha, Kabupaten Luwu Timur, Sulawesi Selatan 92983, Indonesia",4002
near Bagua,Peru,"(-9.189967, -75.015152)",Peru,"(-5.6361357, -78.5307552)","Bagua, Peru",4003
Zhuhai AirportZUH),China,"(35.86166, 104.195397)",China,"(22.0080725, 113.3785933)","Zhuhai International Airport (ZUH), Jinwan Qu, Zhuhai Shi, Guangdong Sheng, China",4004
München-Franz Josef Strauss AirportMUC),Germany,"(51.165691, 10.451526)",Germany,"(48.3536621, 11.7750279)","Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",4005
São Paulo-Guarulhos International Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.4345529, -46.478126)","Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Cumbica, Guarulhos - SP, 07190-100, Brazil",4006
Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines",4007
 Lukapa,Angola,"(-11.202692, 17.873887)",Angola,"(-8.4432485, 20.7301263)","Lucapa, Angola",4008
Arequipa-Rodriguez Ballon Airport,Peru,"(-9.189967, -75.015152)",Peru,"(-16.344812, -71.56799)","Rodriguez Ballon Airport, Aviación, Cerro Colorado, Peru",4009
Palangkaraya-Tjilik Riwut AirportPKY),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-2.2323562, 113.9489615)","Bandara Tjilik Riwut Baru, Panarung, Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",4010
near Jabal Awliya,Sudan,"(12.862807, 30.217636)",Sudan,"(15.2286363, 32.5259596)","Jebel Aulia, Sudan",4011
Ban Lung Ratanakiri ,Cambodia,"(12.565679, 104.990963)",Cambodia,"(13.7060822, 107.0303221)","Banlung, Cambodia",4012
Omsk,Russia,"(61.52401, 105.318756)",Russia,"(54.9884804, 73.32423620000002)","Omsk, Omsk Oblast, Russia",4013
Baia Mare Airport,Romania,"(45.943161, 24.96676)",Romania,"(47.661179, 23.466813)","Baia Mare International Airport, Strada 66, Tăuții-Măgherăuș 437345, Romania",4014
El Zapotal,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(21.6147526, -98.3841691)","El Zapotal, Ver., Mexico",4015
Port-au-Prince-Mais Gate AirportPAP),Haiti,"(18.971187, -72.285215)",Haiti,"(18.5746335, -72.2946977)","Port-au-Prince International Airport (PAP), Aero International de Port, Pòtoprens, Haiti",4016
Port-au-Prince-Mais Gate AirportPAP),Haiti,"(18.971187, -72.285215)",Haiti,"(18.5746335, -72.2946977)","Port-au-Prince International Airport (PAP), Aero International de Port, Pòtoprens, Haiti",4017
near Kawatana,Japan,"(36.204824, 138.252924)",Japan,"(33.0727762, 129.8611896)","Kawatana, Higashisonogi District, Nagasaki Prefecture, Japan",4018
near Ensenada Airport,Mexico,"(23.634501, -102.552784)",Mexico,"(31.79694049999999, -116.5984351)","Base Aérea Nº. 3 El Ciprés (ESE), Carr. Transpeninsular Kilómetro 114.5, El Cipres, 22780 Ensenada, B.C., Mexico",4019
 Puerto Plata,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(19.7807686, -70.6871091)","Puerto Plata 57000, Dominican Republic",4020
Saint Johns Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(29.9543518, -81.3429353)","Northeast Florida Regional Airport, 4900 US-1, St Augustine, FL 32095, USA",4021
Fazenda Matary,Brazil,"(-14.235004, -51.92528)",Brazil,"(-14.235004, -51.92528)",Brazil,4022
Asunción-Silvio Pettirossi International Airport,Paraguay,"(-23.442503, -58.443832)",Paraguay,"(-25.2415129, -57.51418139999999)","Silvio Pettirossi International Airport (ASU), pje juan b justo 4133 bqueras chaco, Paraguay",4023
Nairobi-Wilson AirportWIL),Kenya,"(-0.023559, 37.906193)",Kenya,"(-1.321111, 36.814722)","Wilson Airport (WIL), Nairobi, Kenya",4024
Blenheim,New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.5134425, 173.9612498)","Blenheim, New Zealand",4025
near Bulwer,South Africa,"(-30.559482, 22.937506)",South Africa,"(-29.8076573, 29.7599761)","Bulwer, 3244, South Africa",4026
Harare AirportHRE),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-17.918784, 31.097279)","Box AP120,, Harare International Airport (HRE), Harare, Zimbabwe",4027
"Houston-Intercontinental Airport, TXIAH)",United States of America,"(37.09024, -95.712891)",United States,"(29.9902199, -95.3367827)","George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",4028
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina",4029
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina",4030
Kano,Nigeria,"(9.081999, 8.675277)",Nigeria,"(12.0021794, 8.591956099999999)","Kano, Nigeria",4031
Kano,Nigeria,"(9.081999, 8.675277)",Nigeria,"(12.0021794, 8.591956099999999)","Kano, Nigeria",4032
Kinshasa-N'Dolo AirportNLO)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.327222, 15.325833)","Aeroport de Ndolo (NLO), Avenue Del'Aerodrome, Kinshasa, Democratic Republic of the Congo",4033
Kinshasa-N'Dolo AirportNLO)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.327222, 15.325833)","Aeroport de Ndolo (NLO), Avenue Del'Aerodrome, Kinshasa, Democratic Republic of the Congo",4034
"Nashville International Airport, TNBNA)",United States of America,"(37.09024, -95.712891)",United States,"(36.126317, -86.67737129999999)","Nashville International Airport (BNA), 1 Terminal Dr, Nashville, TN 37214, USA",4035
Tainan AirportTNN),Taiwan,"(23.69781, 120.960515)",Taiwan,"(22.9477075, 120.2162932)","Tainan Airport, No. 775號, Jichang Road, South District, Tainan City, Taiwan 702",4036
"Aspen Airport, COASE)",United States of America,"(37.09024, -95.712891)",United States,"(61.17760860000001, -149.9373481)","2810 Aspen Dr, Anchorage, AK 99517, USA",4037
Chachapoyas AirportCHH),Peru,"(-9.189967, -75.015152)",Peru,"(-6.2068541, -77.8524505)","Aeropuerto de Chachapoyas (CHH), Chachapoyas, Peru",4038
"Miles City Municipal Airport, MTMLS)",United States of America,"(37.09024, -95.712891)",United States,"(46.4289004, -105.8834368)","Miles City Municipal Airport, Highway 59, Miles City, MT 59301, USA",4039
"Spokane International Airport, WAGEG)",United States of America,"(37.09024, -95.712891)",United States,"(47.62174779999999, -117.534812)","Spokane International Airport (GEG), 9000 W Airport Dr, Spokane, WA 99224, USA",4040
Genève-Cointrin AirportGVA),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.23700969999999, 6.1091564)","Genève Aéroport (GVA), Route de l'Aéroport 21, 1215 Le Grand-Saconnex, Switzerland",4041
Genève-Cointrin AirportGVA),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.23700969999999, 6.1091564)","Genève Aéroport (GVA), Route de l'Aéroport 21, 1215 Le Grand-Saconnex, Switzerland",4042
near IrumuCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(1.4391476, 29.8439109)","Irumu, Democratic Republic of the Congo",4043
near IrumuCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(1.4391476, 29.8439109)","Irumu, Democratic Republic of the Congo",4044
Wuhan AirportWUH),China,"(35.86166, 104.195397)",China,"(30.7766171, 114.2124495)","Wuhan Tianhe International Airport (WUH), Huangpi Qu, Wuhan Shi, Hubei Sheng, China",4045
at an unknown location,Mexico,"(23.634501, -102.552784)",Mexico,"(23.634501, -102.552784)",Mexico,4046
"Hamilton Airport, MT",United States of America,"(37.09024, -95.712891)",United States,"(46.251281, -114.1273162)","Airport Rd, Hamilton, MT 59840, USA",4047
"near Reserve, NM",United States of America,"(37.09024, -95.712891)",United States,"(33.7131104, -108.7578411)","Reserve, NM 87830, USA",4048
near Dhaka,Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(23.810332, 90.4125181)","Dhaka, Bangladesh",4049
"Hog River Airport, AK",United States of America,"(37.09024, -95.712891)",United States,"(66.2161072, -155.6693208)","Hog River Airport, Hogatza, AK, USA",4050
near Abidjan AirportABJ),Cote d'Ivoire,"(7.539988999999999, -5.547079999999999)",Côte d'Ivoire,"(5.2544696, -3.9296293)","Aéroport Félix Houphouët Boigny, Abidjan, Côte d'Ivoire",4051
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina",4052
Valencia AirportVLC),Spain,"(40.46366700000001, -3.74922)",Spain,"(39.4892327, -0.4780256)","Valencia Airport (VLC), Carretera del Aeropuerto, s/n, 46940 Manises, Valencia, Spain",4053
"Fishers Island-Elizabeth Field, NYFID)",United States of America,"(37.09024, -95.712891)",United States,"(41.252098, -72.0321221)","Elizabeth Field Airport (FID), 500 Airport Rd, Fishers Island, NY 06390, USA",4054
Montreal-Mirabel International Airport,Canada,"(56.130366, -106.346771)",Canada,"(45.6701862, -74.0324134)","Montréal-Mirabel International Airport (YMX), 12300 Rue Services A-4, Mirabel, QC J7N 1E8, Canada",4055
"Newark International Airport, NJEWR)",United States of America,"(37.09024, -95.712891)",United States,"(40.6895314, -74.1744624)","Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",4056
Gorda AFB,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-0.789275, 113.921327)",Indonesia,4057
off Luquillo,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.3778332, -65.7182552)","Luquillo, 00773, Puerto Rico",4058
"San Diego International Airport, CASAN)",United States of America,"(37.09024, -95.712891)",United States,"(32.7338006, -117.1933038)","San Diego International Airport (SAN), 3225 N Harbor Dr, San Diego, CA 92101, USA",4059
near La Carbonera,Mexico,"(23.634501, -102.552784)",Mexico,"(8.6329466, -71.3661082)","La Carbonera, Mérida, Venezuela",4060
Monterrey Aeropuerto Del NorteNTR ,Mexico,"(23.634501, -102.552784)",Mexico,"(23.634501, -102.552784)",Mexico,4061
Great Falls International Airport,United States of America,"(37.09024, -95.712891)",United States,"(47.4825016, -111.3566299)","Great Falls International Airport, 2800 Terminal Dr, Great Falls, MT 59404, USA",4062
 Gyandzha Airport,Azerbaijan,"(40.143105, 47.576927)",Azerbaijan,"(40.7394875, 46.2997587)","Ganja Airport (KVD), Gəncə AZ 2000, Azerbaijan",4063
Porto-Francisco sá Carneiro AirportOPO),Portugal,"(39.39987199999999, -8.224454)",Portugal,"(41.2421186, -8.6785514)","Francisco Sá Carneiro Airport (OPO), 4470-558 Maia, Portugal",4064
Steynsburg,South Africa,"(-30.559482, 22.937506)",South Africa,"(-31.2990504, 25.8225997)","Steynsburg, 5920, South Africa",4065
Steynsburg,South Africa,"(-30.559482, 22.937506)",South Africa,"(-31.2990504, 25.8225997)","Steynsburg, 5920, South Africa",4066
Shenzhen AirportSZX),China,"(35.86166, 104.195397)",China,"(22.636828, 113.814606)","Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",4067
"Jersey-States Airport, Channel IslandsJER)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.2074637, -2.1952207)","Jersey Airport, St Peter JE1 1BY, Jersey",4068
Zürich-Kloten AirportZRH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4582165, 8.5554755)","Zurich Airport (ZRH), 8058 Zürich-Flughafen, Switzerland",4069
Paros Airport,Greece,"(39.074208, 21.824312)",Greece,"(37.0219522, 25.1152916)","Paros Airport, Paros 844 00, Greece",4070
near Kâmpóng Chhnang,Cambodia,"(12.565679, 104.990963)",Cambodia,"(12.1392352, 104.5655273)","Kampong Chhnang Province, Cambodia",4071
Bronson Creek Airport,Canada,"(56.130366, -106.346771)",Canada,"(56.7, -131.0)","Bronson Creek Airport, Bronson Creek, BC V9C 4A7, Canada",4072
"Ossabaw Island, GA",United States of America,"(37.09024, -95.712891)",United States,"(31.7615309, -81.1085744)","Ossabaw Island, Georgia, USA",4073
ca 10 km from Niamey AirportNIM),Niger,"(17.607789, 8.081666)",Niger,"(13.476534, 2.177158)","Diori Hamani International Airport (NIM), Niamey, Niger",4074
ca 10 km from Niamey AirportNIM),Niger,"(17.607789, 8.081666)",Niger,"(13.476534, 2.177158)","Diori Hamani International Airport (NIM), Niamey, Niger",4075
Kinshasa-N'Djili AirportFIH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.386449199999999, 15.4453718)","N'Djili Airport (FIH), Kinshasa, Democratic Republic of the Congo",4076
Verkhnevilyuysk ,Russia,"(61.52401, 105.318756)",Russia,"(63.44358839999999, 120.3197132)","Verkhnevilyuysk, Sakha Republic, Russia, 678230",4077
Verkhnevilyuysk ,Russia,"(61.52401, 105.318756)",Russia,"(63.44358839999999, 120.3197132)","Verkhnevilyuysk, Sakha Republic, Russia, 678230",4078
Abidjan AirportABJ),Cote d'Ivoire,"(7.539988999999999, -5.547079999999999)",Côte d'Ivoire,"(5.2544696, -3.9296293)","Aéroport Félix Houphouët Boigny, Abidjan, Côte d'Ivoire",4079
 Hilo,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.7070942, -155.0884869)","Hilo, HI 96720, USA",4080
Banjarmasin-Sjamsudin Noor AirportBDJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.4380056, 114.7541801)","SAMSUDIN NOOR AIRPORT, Jalan Angkasa, Landasan Ulin Utara, Landasan Ulin, Liang Anggang, Landasan Ulin Utara, Liang Anggang, Banjarmasin, kelurahan 70724, Indonesia",4081
 Wainwright,United States of America,"(37.09024, -95.712891)",United States,"(70.63694439999999, -160.0383333)","Wainwright, AK, USA",4082
Bournemouth International AirportBOH),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.7778287, -1.8324369)","Bournemouth Airport, Parley Ln, Christchurch BH23 6SE, UK",4083
Goma AirportGOM),Kenya,"(-0.023559, 37.906193)",Kenya,"(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",4084
Goma AirportGOM),Kenya,"(-0.023559, 37.906193)",Kenya,"(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",4085
"Buffalo-Greater Buffalo International Airport, NYBUF)",United States of America,"(37.09024, -95.712891)",United States,"(42.9397059, -78.7295067)","Buffalo Niagara International Airport (BUF), 4200 Genesee St, Buffalo, NY 14225, USA",4086
Pucallpa AirportPCL),Peru,"(-9.189967, -75.015152)",Peru,"(-8.3885398, -74.5770841)","FAP Captain David Abenzur Rengifo International Airport, Pucallpa, Peru",4087
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras",4088
Tshikapa AirportTSH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-6.440136300000001, 20.7941977)","Tshikapa Airport (TSH), R706, Tshikapa, Democratic Republic of the Congo",4089
"New York-La Guardia Airport, NYLGA)",United States of America,"(37.09024, -95.712891)",United States,"(40.7769271, -73.8739659)","LaGuardia Airport (LGA), Queens, NY 11371, USA",4090
Nunapitchuk Airport,United States of America,"(37.09024, -95.712891)",United States,"(60.906989, -162.4397119)","Nunapitchuk Airport, Yukon Delta National Wildlife Refuge, Kasigluk, AK 99609, USA",4091
Taipei-Chiang Kai Shek International AirportTPE),Taiwan,"(23.69781, 120.960515)",Taiwan,"(25.0796514, 121.234217)","Taiwan Taoyuan International Airport (TPE), No. 9, Hangzhan South Road, Dayuan District, Taoyuan City, Taiwan 33758",4092
"Blandburg, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.6870075, -78.4108512)","Blandburg, PA 16639, USA",4093
"Blandburg, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.6870075, -78.4108512)","Blandburg, PA 16639, USA",4094
"Denver International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,"(39.8560963, -104.6737376)","Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",4095
"Denver International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,"(39.8560963, -104.6737376)","Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",4096
Asmara International AirportASM),Eritrea,"(15.179384, 39.782334)",Eritrea,"(15.285, 38.901667)","Asmara,Eritrea International Airport (ASM), Hday St, Asmara, Ethiopia",4097
Santa Fé-Sauce Viejo Airport,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-31.7088748, -60.807816)","Aeropuerto Sauce Viejo, RN11 Km. 452.5, 3017 Sauce Viejo, Santa Fe, Argentina",4098
at an unknown location,Iran,"(32.427908, 53.688046)",Iran,"(32.427908, 53.688046)",Iran,4099
Aguadilla-Borinquen AirportBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.4953957, -67.1355779)","Rafael Hernández Airport (BQN), 405 Hangar, Aguadilla Pueblo, Aguadilla 00604, Puerto Rico",4100
"near Long Tieng, Xiangkhouang",Laos,"(19.85627, 102.495496)",Laos,"(19.1093153, 102.9216707)","Long Tieng, Laos",4101
W of Erdenet,Mongolia,"(46.862496, 103.846656)",Mongolia,"(49.054082, 104.0716533)","Erdenet, Mongolia",4102
Hyderabad AirportHDD),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(25.3181264, 68.36634649999999)","Hyderabad Domestic Airport (HDD), Airport Rd, Hyderabad 71000, Pakistan",4103
Ibiza AirportIBZ),Spain,"(40.46366700000001, -3.74922)",Spain,"(38.8748594, 1.3712232)","Ibiza Airport (IBZ), 07818 Sant Jordi de ses Salines, Illes Balears, Spain",4104
Ibiza AirportIBZ),Spain,"(40.46366700000001, -3.74922)",Spain,"(38.8748594, 1.3712232)","Ibiza Airport (IBZ), 07818 Sant Jordi de ses Salines, Illes Balears, Spain",4105
Johannesburg International AirportJNB),South Africa,"(-30.559482, 22.937506)",South Africa,"(-26.1366728, 28.2411459)","O.R. Tambo International Airport (JNB), O R Tambo Airport Rd, O.R. Tambo, Johannesburg, 1627, South Africa",4106
-Seletar AirportXSP),Singapore,"(1.352083, 103.819836)",Singapore,"(1.4166703, 103.8665551)","556 West Camp Road, Seletar Airport (XSP), Singapore 797794",4107
-Seletar AirportXSP),Singapore,"(1.352083, 103.819836)",Singapore,"(1.4166703, 103.8665551)","556 West Camp Road, Seletar Airport (XSP), Singapore 797794",4108
Nome Airport,United States of America,"(37.09024, -95.712891)",United States,"(64.5099347, -165.4435152)","Nome Airport (OME), 227 Airport Rd, Nome, AK 99762, USA",4109
Nome Airport,United States of America,"(37.09024, -95.712891)",United States,"(64.5099347, -165.4435152)","Nome Airport (OME), 227 Airport Rd, Nome, AK 99762, USA",4110
Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt",4111
Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt",4112
Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt",4113
Luanda-4 de Fevereiro AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola",4114
"Barra de Tijuca, Rio de Janeiro, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.0003709, -43.36589499999999)","Barra da Tijuca, Rio de Janeiro - State of Rio de Janeiro, Brazil",4115
"Barra de Tijuca, Rio de Janeiro, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,"(-23.0003709, -43.36589499999999)","Barra da Tijuca, Rio de Janeiro - State of Rio de Janeiro, Brazil",4116
"near Calhoun, GA",United States of America,"(37.09024, -95.712891)",United States,"(34.502587, -84.9510542)","Calhoun, GA, USA",4117
near Vaalwater,South Africa,"(-30.559482, 22.937506)",South Africa,"(-24.2971536, 28.1151939)","Vaalwater, 0530, South Africa",4118
 Andoas,Peru,"(-9.189967, -75.015152)",Peru,"(-2.9051835, -76.40279369999999)","Andoas, Peru",4119
Brunswick-NAS,United States of America,"(37.09024, -95.712891)",United States,"(43.898449, -69.9342956)","Brunswick Executive Airport, Brunswick Naval Complex, 15 Terminal Road, Brunswick, ME 04011, USA",4120
Istanbul-Atatürk AirportIST),Turkey,"(38.963745, 35.243322)",Turkey,"(40.9829888, 28.8104425)","Yeşilköy Mahallesi, Istanbul Ataturk Airport (IST), 34149 Bakırköy/İstanbul, Turkey",4121
La Lope,Gabon,"(-0.803689, 11.609444)",Gabon,"(-0.4411596, 11.5248055)","Lopé National Park, Gabon",4122
