SubLocation,Country,latlon,place,sub_latlon,sub_place
near Medellín-Enrique Olaya Herrera AirportEOH),Colombia,"(4.570868, -74.297333)",Colombia,,
near Kuito,Angola,"(-11.202692, 17.873887)",Angola,,
Southend Municipal AirportSEN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Yonago-Miho AirportYGJ),Japan,"(36.204824, 138.252924)",Japan,,
Yonago-Miho AirportYGJ),Japan,"(36.204824, 138.252924)",Japan,,
"16 km10 mls) SW of Monroe Municipal Airport, LAMLU)",United States of America,"(37.09024, -95.712891)",United States,,
Luanda AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola"
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran"
Monterrey,Mexico,"(23.634501, -102.552784)",Mexico,,
near Seferihisar,Turkey,"(38.963745, 35.243322)",Turkey,,
Lima,Peru,"(-9.189967, -75.015152)",Peru,"(-12.0463731, -77.042754)","Lima, Peru"
Cazambo,Angola,"(-11.202692, 17.873887)",Angola,,
Cazambo,Angola,"(-11.202692, 17.873887)",Angola,,
Jalalabad AirportJAA),Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
Genève-Cointrin AirportGVA),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.23700969999999, 6.1091564)","Genève Aéroport (GVA), Route de l'Aéroport 21, 1215 Le Grand-Saconnex, Switzerland"
Isla Verde,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
"1,5 km0.9 mls) NE of La Grande-LG-4 airstrip, QC",Canada,"(56.130366, -106.346771)",Canada,,
"Poughkeepsie, NY",United States of America,"(37.09024, -95.712891)",United States,,
near Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,,
near Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
12 km7.5 mls) from  Kuala Lumpur Subang International AirportKUL),Malaysia,"(4.210484, 101.975766)",Malaysia,,
"5 km3.1 mls) N of Hurlburt Field, FL",United States of America,"(37.09024, -95.712891)",United States,,
"5 km3.1 mls) N of Hurlburt Field, FL",United States of America,"(37.09024, -95.712891)",United States,,
"Rio de Janeiro-Santos Dumont Airport, RJSDU)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.9111438, -43.1648755)","Santos Dumont Airport (SDU) - Praça Sen. Salgado Filho, s/n - Centro, Rio de Janeiro - RJ, 20021-340, Brazil"
over Washington State,United States of America,"(37.09024, -95.712891)",United States,,
Morobe AirportOBM),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
"Pelly Crossing, YT",Canada,"(56.130366, -106.346771)",Canada,,
 AirportJIB),Djibouti,"(11.825138, 42.590275)",Djibouti,,
"near Capon Bridge, WV",United States of America,"(37.09024, -95.712891)",United States,,
Abarqu,Iran,"(32.427908, 53.688046)",Iran,,
"2,2 km1.4 mls) W of Rodenbach",Germany,"(51.165691, 10.451526)",Germany,,
Manila-Ninoy Aquino International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
"4,5 km2.8 mls) from  Tuxtla Gutiérrez AirportTGZ)",Mexico,"(23.634501, -102.552784)",Mexico,,
"4,5 km2.8 mls) from  Tuxtla Gutiérrez AirportTGZ)",Mexico,"(23.634501, -102.552784)",Mexico,,
Delhi-Indira Gandhi International AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
near Spafaryev Island,Russia,"(61.52401, 105.318756)",Russia,,
near  City-La Aurora AirportGUA),Guatemala,"(15.783471, -90.23075899999999)",Guatemala,,
"Wilmington-New Hanover County Airport, NCILM)",United States of America,"(37.09024, -95.712891)",United States,,
"Wilmington-New Hanover County Airport, NCILM)",United States of America,"(37.09024, -95.712891)",United States,,
1 km0.6 mls) S of Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,,
Montería-Los Garzones AirportMTR),Colombia,"(4.570868, -74.297333)",Colombia,,
Kaliningrad-Khrabrovo AirportKGD),Russia,"(61.52401, 105.318756)",Russia,,
"3,2 km2 mls) S of Tarbert",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
-Changi AirportSIN),Singapore,"(1.352083, 103.819836)",Singapore,,
near Macas,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Yelahanka Air Station,India,"(20.593684, 78.96288)",India,,
Khartoum-Civil AirportKRT),Sudan,"(12.862807, 30.217636)",Sudan,"(15.5927666, 32.5522355)","Khartoum International Airport (KRT), Khartoum, Sudan"
Asmara International AirportASM),Eritrea,"(15.179384, 39.782334)",Eritrea,"(15.285, 38.901667)","Asmara,Eritrea International Airport (ASM), Hday St, Asmara, Ethiopia"
Dinard-Pleurtuit AirportDNR),France,"(46.227638, 2.213749)",France,,
Dinard-Pleurtuit AirportDNR),France,"(46.227638, 2.213749)",France,,
Navoi AirportNVI),Uzbekistan,"(41.377491, 64.585262)",Uzbekistan,,
"NW off San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,,
"NW off San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,,
near Rash Mishab,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,,
at an unknown location,Mexico,"(23.634501, -102.552784)",Mexico,,
Bucharest-Otopeni International AirportOTP),Romania,"(45.943161, 24.96676)",Romania,"(44.5707306, 26.0844123)","Henri Coandă International Airport (OTP), Calea Bucureştilor 224E, Otopeni 075150, Romania"
Lichinga AirportVXC),Mozambique,"(-18.665695, 35.529562)",Mozambique,,
Pico Alto,Portugal,"(39.39987199999999, -8.224454)",Portugal,,
Marseille-Marignane AirportMRS),France,"(46.227638, 2.213749)",France,,
near Yangon-Mingaladon AirportRGN),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
near Bannu,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
San José-Juan Santamaria International AirportSJO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,,
"Abilene-Dyess AFB, TXDYS)",United States of America,"(37.09024, -95.712891)",United States,,
Lisboa-Portela de Sacavém AirportLIS),Portugal,"(39.39987199999999, -8.224454)",Portugal,,
"Fairbanks-Fort Wainwright Airport, AKFBK)",United States of America,"(37.09024, -95.712891)",United States,,
Quiliano,Italy,"(41.87194, 12.56738)",Italy,,
Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
Kandahar AirportKDH),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(31.506944, 65.8475)","Kandahar International Airport (KDH) د کندهار بین المللی هوایی میدان (KDH), Airport Road, Afghanistan"
Ivano-Frankovsk AirportIFO),Ukraine,"(48.379433, 31.16558)",Ukraine,,
Örnsköldsvik AirportOER),Sweden,"(60.12816100000001, 18.643501)",Sweden,,
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
"Buena Vista, CO",United States of America,"(37.09024, -95.712891)",United States,,
Odessa-Central AirportODS),Ukraine,"(48.379433, 31.16558)",Ukraine,,
between La Paz and Apolo,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"near Ketchikan, AK",United States of America,"(37.09024, -95.712891)",United States,,
Monrovia-Roberts International AirportROB),Liberia,"(6.428055, -9.429499000000002)",Liberia,"(6.239722, -10.358889)","Roberts International Airport (ROB), Harbel, Liberia"
"7,8 km4.9 mls) S of Caracas/La Carlota-Gen. Francisco de Miranda Air Base",Venezuela,"(6.42375, -66.58973)",Venezuela,,
"ca 2 km N of Dayton-James Cox Dayton International Airport, OHDAY)",United States of America,"(37.09024, -95.712891)",United States,,
"Rockingham County/Shiloh Airport, NC",United States of America,"(37.09024, -95.712891)",United States,,
near Kegworth,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Laredo International Airport, TXLRD)",United States of America,"(37.09024, -95.712891)",United States,,
"Laredo International Airport, TXLRD)",United States of America,"(37.09024, -95.712891)",United States,,
Banjarmasin-Sjamsudin Noor AirportBDJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
"Chico Airport, CACIC)",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) ENE of Moosonee Airport, ONYMO)",Canada,"(56.130366, -106.346771)",Canada,,
near Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,,
near Bam,Iran,"(32.427908, 53.688046)",Iran,,
"Lord Howe Island Airport, NSWLDH)",Australia,"(-25.274398, 133.775136)",Australia,,
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,,
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,,
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,,
Khost,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
"1,5 km0.9 mls) off  Contadora AirportOTD)",Panama,"(8.537981, -80.782127)",Panama,,
Leningrad-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Uelen,Russia,"(61.52401, 105.318756)",Russia,,
Camiare Airstrip,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"4 km2.5 mls) from  Gadsden Municipal Airport, ALGAD)",United States of America,"(37.09024, -95.712891)",United States,,
"1,8 km1.1 mls) W off  Værøy-Stolport AirportVRY)",Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
"Juiz De Fora-Francisco De Assis Airport, MGJDF)",Brazil,"(-14.235004, -51.92528)",Brazil,,
off Levittown,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
"near Leongatha, VIC",Australia,"(-25.274398, 133.775136)",Australia,,
Balikpapan-Sepingan AirportBPN),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
off Utila AirportUII),Honduras,"(15.199999, -86.241905)",Honduras,,
near Labuan Bajo-Mutiara AirportLBJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Port-au-Prince AirportPAP),Haiti,"(18.971187, -72.285215)",Haiti,,
near Sverdlovsk,Russia,"(61.52401, 105.318756)",Russia,,
"8 km5 mls) from  Brasília International Airport, DFBSB)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"15 km9.4 mls) NE of San Diego-Brown Field Municipal Airport, CASDM)",United States of America,"(37.09024, -95.712891)",United States,,
32 km20 mls) from  Malanje,Angola,"(-11.202692, 17.873887)",Angola,,
"Uberlândia-Eduardo Gomes Airport, MGUDI)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"New York-John F. Kennedy International Airport, NYJFK)",United States of America,"(37.09024, -95.712891)",United States,"(40.6413111, -73.77813909999999)","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"Carlsbad-McClellan-Palomar Airport, CACLD)",United States of America,"(37.09024, -95.712891)",United States,"(33.1278996, -117.2791873)","McClellan-Palomar Airport, 2198 Palomar Airport Rd, Carlsbad, CA 92011, USA"
Blenheim-Woodbourne AirportBHE),New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.51358800000001, 173.86765)","Marlborough Airport (BHE) Tancred Cres, Blenheim, Woodbourne 7206, New Zealand"
Lagos-Murtala Muhammed International AirportLOS),Nigeria,"(9.081999, 8.675277)",Nigeria,,
"6,5 km4.1 mls) from  Uvalde-Garner Field, TXUVA)",United States of America,"(37.09024, -95.712891)",United States,,
near Kabul-Khwaja Rawash AirportKBL),Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
30 km18.8 mls) from  Kuito,Angola,"(-11.202692, 17.873887)",Angola,,
Santiago de -Antonio Maceo AirportSCU),Cuba,"(21.521757, -77.781167)",Cuba,,
Moscow,Russia,"(61.52401, 105.318756)",Russia,"(55.755826, 37.6173)","Moscow, Russia"
Moscow,Russia,"(61.52401, 105.318756)",Russia,"(55.755826, 37.6173)","Moscow, Russia"
Roatan AirportRTB),Honduras,"(15.199999, -86.241905)",Honduras,,
Roatan AirportRTB),Honduras,"(15.199999, -86.241905)",Honduras,,
"Vershino-Darasunskiy, Chita Region",Russia,"(61.52401, 105.318756)",Russia,,
Jászjákóhalma,Hungary,"(47.162494, 19.503304)",Hungary,,
Jászjákóhalma,Hungary,"(47.162494, 19.503304)",Hungary,,
Kaabong,Uganda,"(1.373333, 32.290275)",Uganda,,
Aroa AirportAOA),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo"
near Caracas-La Carlota Airport,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"4,8 km3 mls) from  Denver International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,,
Taiyuan AirportTYN),China,"(35.86166, 104.195397)",China,,
near Bergisch Gladbach,Germany,"(51.165691, 10.451526)",Germany,,
Zürich-Kloten AirportZRH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4582165, 8.5554755)","Zurich Airport (ZRH), 8058 Zürich-Flughafen, Switzerland"
Siauliai,Lithuania,"(55.169438, 23.881275)",Lithuania,,
Menorca-Mahón AirportMAH),Spain,"(40.46366700000001, -3.74922)",Spain,,
ca 10 km W of Lusaka AirportLUN),Zambia,"(-13.133897, 27.849332)",Zambia,,
"0,7 km0.4 mls) W of Bangalore-Hindustan AirportBLR)",India,"(20.593684, 78.96288)",India,,
"Bauru Airport, SPBAU)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Winnipeg International Airport, MBYWG)",Canada,"(56.130366, -106.346771)",Canada,,
ca 6 km WNW of Ibague-Perales AirportIBE),Colombia,"(4.570868, -74.297333)",Colombia,,
"Detroit City Airport, MIDET)",United States of America,"(37.09024, -95.712891)",United States,,
"3,7 km2.3 mls) from  Panevezys-Pajuostis Air BasePNV)",Lithuania,"(55.169438, 23.881275)",Lithuania,,
"5 km3.1 mls) E of Columbia Regional Airport, MOCOU)",United States of America,"(37.09024, -95.712891)",United States,,
"1,6 km1 mls) SE of Burlington International Airport, VTBTV)",United States of America,"(37.09024, -95.712891)",United States,,
"3,2 km2 mls) S of Plattsburgh-Clinton County Airport, NYPLB)",United States of America,"(37.09024, -95.712891)",United States,,
near Kinkala,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,,
near Kinkala,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,,
near Ulaangom AirportULO),Mongolia,"(46.862496, 103.846656)",Mongolia,,
"within Inuvik, NT",Canada,"(56.130366, -106.346771)",Canada,,
Nadi International AirportNAN),Fiji,"(-17.713371, 178.065032)",Fiji,"(-17.7534652, 177.4507196)","Nadi International Airport, Nadi, Fiji"
at an unknown location,Sudan,"(12.862807, 30.217636)",Sudan,,
unknown,Brazil,"(-14.235004, -51.92528)",Brazil,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
near Pinofranque,Spain,"(40.46366700000001, -3.74922)",Spain,,
27 km16.9 mls) NE of Valera,Venezuela,"(6.42375, -66.58973)",Venezuela,,
Leningrad-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,,
"1,5 km0.9 mls) SE of Glenview Naval Air Station, ILNBU)",United States of America,"(37.09024, -95.712891)",United States,,
"6,4 km4 mls) S of Colorado Springs, CO",United States of America,"(37.09024, -95.712891)",United States,,
Mosul AirportOSM),Iraq,"(33.223191, 43.679291)",Iraq,,
Mosul AirportOSM),Iraq,"(33.223191, 43.679291)",Iraq,,
Baghdad,Iraq,"(33.223191, 43.679291)",Iraq,,
Baghdad,Iraq,"(33.223191, 43.679291)",Iraq,,
Baghdad-Al Muthana AirportBGW),Iraq,"(33.223191, 43.679291)",Iraq,,
Baghdad-Al Muthana AirportBGW),Iraq,"(33.223191, 43.679291)",Iraq,,
Baghdad-Saddam International AirportSDA),Iraq,"(33.223191, 43.679291)",Iraq,,
off Shikoku Island,Japan,"(36.204824, 138.252924)",Japan,,
Shayka Mayhar Air Base,Iraq,"(33.223191, 43.679291)",Iraq,,
Suweria,Iraq,"(33.223191, 43.679291)",Iraq,,
11 km6.9 mls) from  Montevideo,Uruguay,"(-32.522779, -55.765835)",Uruguay,,
"Avon Park Municipal Airport, FLAVO)",United States of America,"(37.09024, -95.712891)",United States,,
near Cazombo,Angola,"(-11.202692, 17.873887)",Angola,,
Puerto Williams AirportWPU),Chile,"(-35.675147, -71.542969)",Chile,,
Shiraz AirportSYZ),Iran,"(32.427908, 53.688046)",Iran,,
Mount Rinjani,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
"Cove Neck, NY",United States of America,"(37.09024, -95.712891)",United States,,
Wakunai AirportWKN),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
near La Sabaneta,Venezuela,"(6.42375, -66.58973)",Venezuela,,
Santo Domingo,Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,,
"Atlanta-William B. Hartsfield International Airport, GAATL)",United States of America,"(37.09024, -95.712891)",United States,"(33.6407282, -84.4277001)","Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"Little Rock National Airport, ARLIT)",United States of America,"(37.09024, -95.712891)",United States,,
"Atlanta-William B. Hartsfield International Airport, GAATL)",United States of America,"(37.09024, -95.712891)",United States,"(33.6407282, -84.4277001)","Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"17 km10.6 mls) SW of Leadville, CO",United States of America,"(37.09024, -95.712891)",United States,,
"Austin-Robert Mueller Municipal, TXAUS)",United States of America,"(37.09024, -95.712891)",United States,,
"Ansonia, OH",United States of America,"(37.09024, -95.712891)",United States,,
16 km10 mls) SSE of San José-Juan Santamaria International AirportSJO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,,
16 km10 mls) SSE of San José-Juan Santamaria International AirportSJO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,,
3 km1.9 mls) E of Pervouralsk,Russia,"(61.52401, 105.318756)",Russia,,
 International AirportKWI),Kuwait,"(29.31166, 47.481766)",Kuwait,"(29.2397327, 47.97115669999999)","Kuwait International Airport (KWI), Gazali Expressway, Kuwait"
Otú AirportOTU),Colombia,"(4.570868, -74.297333)",Colombia,,
 International AirportKWI),Kuwait,"(29.31166, 47.481766)",Kuwait,"(29.2397327, 47.97115669999999)","Kuwait International Airport (KWI), Gazali Expressway, Kuwait"
"Cleveland-Hopkins International Airport, OHCLE)",United States of America,"(37.09024, -95.712891)",United States,"(41.4124339, -81.84799249999999)","Cleveland Hopkins International Airport (CLE), 5300 Riverside Dr, Cleveland, OH 44135, USA"
Mosul AirportOSM),Iraq,"(33.223191, 43.679291)",Iraq,,
unknown,Iran,"(32.427908, 53.688046)",Iran,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
Mosul AirportOSM),Iraq,"(33.223191, 43.679291)",Iraq,,
34 km21.3 mls) W of Taisha,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
near Iquitos,Peru,"(-9.189967, -75.015152)",Peru,,
Tbilisi AirportTBS),Georgia,"(32.1656221, -82.9000751)","Georgia, USA",,
"1,6 km1 mls) N of Aspen Airport, COASE)",United States of America,"(37.09024, -95.712891)",United States,,
42 km26.3 mls) S of Chihuahua AirportCUU),Mexico,"(23.634501, -102.552784)",Mexico,,
"San Diego International Airport, CASAN)",United States of America,"(37.09024, -95.712891)",United States,,
4 km2.5 mls) from  Épinal-Mirecourt AirportEPL),France,"(46.227638, 2.213749)",France,,
16 km10 mls) from  Bogotá-Eldorado AirportBOG),Colombia,"(4.570868, -74.297333)",Colombia,,
Dar Es Salaam International AirportDAR),Tanzania,"(-6.369028, 34.888822)",Tanzania,,
Mount Othrys,Greece,"(39.074208, 21.824312)",Greece,,
Monrovia,Liberia,"(6.428055, -9.429499000000002)",Liberia,,
"Los Angeles International Airport, CALAX)",United States of America,"(37.09024, -95.712891)",United States,,
"Los Angeles International Airport, CALAX)",United States of America,"(37.09024, -95.712891)",United States,,
unknown,Iran,"(32.427908, 53.688046)",Iran,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
near Ras Al Khafji,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,,
60 km37.5 mls) E of Gorontalo-Jalaluddin AirportGTO),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
"Beckley Airport, WVBKW)",United States of America,"(37.09024, -95.712891)",United States,"(37.7916696, -81.12345069999999)","Raleigh County Memorial Airport, 176 Airport Rd #105, Beaver, WV 25813, USA"
Bourgas AirportBOJ),Bulgaria,"(42.733883, 25.48583)",Bulgaria,,
"137 km85.6 mls) N of Goose Bay, NF",Canada,"(56.130366, -106.346771)",Canada,,
Kobenhavn-Kastrup AirportCPH),Denmark,"(56.26392, 9.501785)",Denmark,,
Palembang AirportPLM),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Ho Chi Minh City-Tan Son Nhat International AirportSGN),Vietnam,"(14.058324, 108.277199)",Vietnam,,
"near Belo Horizonte, MG",Brazil,"(-14.235004, -51.92528)",Brazil,,
Bucharest-Otopeni International AirportOTP),Romania,"(45.943161, 24.96676)",Romania,"(44.5707306, 26.0844123)","Henri Coandă International Airport (OTP), Calea Bucureştilor 224E, Otopeni 075150, Romania"
"Yorke Island Airport, QLDOKR)",Australia,"(-25.274398, 133.775136)",Australia,,
Kajo Kaji,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
Menongue AirportSPP),Angola,"(-11.202692, 17.873887)",Angola,,
"Villa Gesell Airport, BAVLG)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
"Hagerstown, MD",United States of America,"(37.09024, -95.712891)",United States,,
15 km9.4 mls) from  Port Vila-Bauerfield AirportVLI),Vanuatu,"(-15.376706, 166.959158)",Vanuatu,,
"Vichy-Rolla National Airport, MOVIH)",United States of America,"(37.09024, -95.712891)",United States,,
ca 40 km SW of Mérida-A Carnevalli AirportMRD),Venezuela,"(6.42375, -66.58973)",Venezuela,,
"Banten Bay, Java Sea",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Lima International AirportLIM),Peru,"(-9.189967, -75.015152)",Peru,,
Palma de Mallorca AirportPMI),Spain,"(40.46366700000001, -3.74922)",Spain,"(39.5517407, 2.7361649)","Palma de Mallorca Airport (PMI), 07611 Palma, Illes Balears, Spain"
"Wilmington Airport, DEILG)",United States of America,"(37.09024, -95.712891)",United States,,
"Sheboygan Falls, WI",United States of America,"(37.09024, -95.712891)",United States,,
Marromeu AirportRRM),Mozambique,"(-18.665695, 35.529562)",Mozambique,,
"12 km7.5 mls) NE of Anniston-County Airport, ALANB)",United States of America,"(37.09024, -95.712891)",United States,,
Moscow-Vnukovo AirportVNO),Russia,"(61.52401, 105.318756)",Russia,,
"1,2 km0.8 mls) SW of Mayaguez-Eugenio M. de Hostos AirportMAZ)",Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
13 km8.1 mls) SW of Tucutí,Panama,"(8.537981, -80.782127)",Panama,,
"Fayetteville-Pope AFB, NCPOB)",United States of America,"(37.09024, -95.712891)",United States,,
Kabul,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
Sibu AirportSBW),Malaysia,"(4.210484, 101.975766)",Malaysia,"(2.2560773, 111.9863462)","Sibu Airport, Sibu Airport (SBW), Lapangan Terbang Sibu, 96000 Sibu, Sarawak, Malaysia"
rural airstrip near Caño,Colombia,"(4.570868, -74.297333)",Colombia,,
Chardzhou AirportCRZ),Turkmenistan,"(38.969719, 59.556278)",Turkmenistan,,
"Opa-Locka Airport, FLOPF)",United States of America,"(37.09024, -95.712891)",United States,,
Sisian Airport,Armenia,"(40.069099, 45.038189)",Armenia,,
near Taymyr Lake,Russia,"(61.52401, 105.318756)",Russia,,
Cumuatillo Airstrip,Mexico,"(23.634501, -102.552784)",Mexico,,
Ilorin AirportILR),Nigeria,"(9.081999, 8.675277)",Nigeria,,
Varna AirportVAR),Bulgaria,"(42.733883, 25.48583)",Bulgaria,,
"Blewett Falls Lake, NC",United States of America,"(37.09024, -95.712891)",United States,,
Lugano AirportLUG),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,,
near Saveh,Iran,"(32.427908, 53.688046)",Iran,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Detroit-Willow Run Airport, MIYIP)",United States of America,"(37.09024, -95.712891)",United States,,
"Perris Valley Airport, CA",United States of America,"(37.09024, -95.712891)",United States,,
"ca 1,7 km SW of Nairobi-Moi Air Base",Kenya,"(-0.023559, 37.906193)",Kenya,,
Kyshik,Russia,"(61.52401, 105.318756)",Russia,,
Goroka Gap,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Nairobi-Jomo tta International AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,,
off Orchid Island AirportKYD),Taiwan,"(23.69781, 120.960515)",Taiwan,,
100 km62.5 mls) SE of Sarra,Libya,"(26.3351, 17.228331)",Libya,,
5 km3.1 mls) from  Baykovo,Russia,"(61.52401, 105.318756)",Russia,,
"near Boothgarh, Ludhiana District",India,"(20.593684, 78.96288)",India,,
"near Boothgarh, Ludhiana District",India,"(20.593684, 78.96288)",India,,
Aden International AirportADE),Yemen,"(15.552727, 48.516388)",Yemen,"(12.8253779, 45.03708959999999)","Aden International Airport, Aden, Yemen"
Iwo Jima Air BaseIWO),Japan,"(36.204824, 138.252924)",Japan,,
Istres,France,"(46.227638, 2.213749)",France,,
60 km37.5 mls) NE of Magadan,Russia,"(61.52401, 105.318756)",Russia,,
Granada AirportGRX),Spain,"(40.46366700000001, -3.74922)",Spain,,
Swarupnagar,India,"(20.593684, 78.96288)",India,,
Iquitos AirportIQT),Peru,"(-9.189967, -75.015152)",Peru,,
Stepanakert,Azerbaijan,"(40.143105, 47.576927)",Azerbaijan,,
Tumaco-La Florida AirportTCO),Colombia,"(4.570868, -74.297333)",Colombia,,
Valley,India,"(20.593684, 78.96288)",India,,
Brest,France,"(46.227638, 2.213749)",France,,
"5,5 km3.4 mls) SE of Athens-Ellinikon International AirportATH)",Greece,"(39.074208, 21.824312)",Greece,,
"New York-La Guardia Airport, NYLGA)",United States of America,"(37.09024, -95.712891)",United States,"(40.7769271, -73.8739659)","LaGuardia Airport (LGA), Queens, NY 11371, USA"
53 km33.1 mls) W of Nizhneyansk,Russia,"(61.52401, 105.318756)",Russia,,
Lugano AirportLUG),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,,
North Atlantic,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean
Marzeno,Italy,"(41.87194, 12.56738)",Italy,,
"Red Lake Airport, ONYRL)",Canada,"(56.130366, -106.346771)",Canada,,
Zilina AirportILZ),Slovakia,"(48.669026, 19.699024)",Slovakia,,
Zilina AirportILZ),Slovakia,"(48.669026, 19.699024)",Slovakia,,
