SubLocation,Country,latlon,place,sub_latlon,sub_place
Toulouse-Blagnac AirportTLS),France,"(46.227638, 2.213749)",France,"(43.6293863, 1.367682)","Toulouse-Blagnac Airport (TLS), 31703 Blagnac, France"
near Khost,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(33.3338472, 69.9371673)","Khost, Afghanistan"
near Aleksandriya,Ukraine,"(48.379433, 31.16558)",Ukraine,"(48.66327039999999, 33.0967875)","Oleksandriya, Kirovohrads'ka oblast, Ukraine"
15 km9.4 mls) from  Tobolsk,Russia,"(61.52401, 105.318756)",Russia,,
"near San Mateo, Manabí",Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.9735743, -80.6968371)","San Mateo, Manta, Ecuador"
"near San Mateo, Manabí",Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.9735743, -80.6968371)","San Mateo, Manta, Ecuador"
"1,5 km0.9 mls) from  Greenville Airport, MSGLH)",United States of America,"(37.09024, -95.712891)",United States,,
"Chicago-Midway Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,"(41.78677589999999, -87.7521884)","Chicago Midway International Airport (MDW), 5700 S Cicero Ave, Chicago, IL 60638, USA"
within Yucatan,Mexico,"(23.634501, -102.552784)",Mexico,"(20.9833641, -89.6130635)","Calle 33ᴬ 460 F, La Huerta, 97080 Mérida, Yuc., Mexico"
near Puerto Limon,Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(9.9913106, -83.04150779999999)","Limón Province, Limon, Costa Rica"
1 km0.6 mls) W of Hannover AirportHAJ),Germany,"(51.165691, 10.451526)",Germany,,
"West Paterson, NJ",United States of America,"(37.09024, -95.712891)",United States,"(40.8898212, -74.19486739999999)","Woodland Park, NJ, USA"
"Lawton Municipal Airport, OKLAW)",United States of America,"(37.09024, -95.712891)",United States,,
Tel Aviv-Ben Gurion International AirportTLV),Israel,"(31.046051, 34.851612)",Israel,"(32.005532, 34.8854112)","Ben Gurion Airport, 7015001, Israel"
"14,5 km9.1 mls) NW of Putao AirportPBU)",Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
"Altus AFB, OKLTS)",United States of America,"(37.09024, -95.712891)",United States,"(34.6562011, -99.2832648)","Altus AFB, OK 73523, USA"
at an unknown location,Mozambique,"(-18.665695, 35.529562)",Mozambique,,
"3,3 km2.1 mls) E of Liverpool International AirportLPL)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
near Khost AirportKHT),Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,"(56.7447746, 60.8029485)","Koltsovo Airport (SVX), ulitsa Bahchivandji, 1, Yekaterinburg, Sverdlovskaya oblast', Russia"
Felvoru,Maldives,"(1.9772276, 73.536101)",Maldives,"(5.4795162, 73.3886397)",Maldives
off eastern coast,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(39.5774607, -76.3444855)","2133 N Fountain Green Rd, Bel Air, MD 21015, USA"
near Jakiri,Cameroon,"(7.369721999999999, 12.354722)",Cameroon,"(6.081612199999999, 10.6393641)","Jakiri, Cameroon"
near Quito,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.1806532, -78.4678382)","Quito, Ecuador"
off San Juan,Spain,"(40.46366700000001, -3.74922)",Spain,"(27.8338907, -97.0710751)","410 Cut-Off Rd, Port Aransas, TX 78373, USA"
56 km35 mls) NE of San Ignacio de Moxos,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
64 km40 mls) SE off  Monrovia,Liberia,"(6.428055, -9.429499000000002)",Liberia,,
Tarnogsky Gorodok Airport,Russia,"(61.52401, 105.318756)",Russia,,
Ulan Bator-Buyant Uhaa AirportULN),Mongolia,"(46.862496, 103.846656)",Mongolia,"(47.8408175, 106.7700749)","Chinggis Khaan International Airport, Ulaanbaatar, Mongolia"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"Oneonta Municipal Airport, NY",United States of America,"(37.09024, -95.712891)",United States,"(42.5216801, -75.0667101)","Oneonta Municipal Airport, 391 Airport Rd, Oneonta, NY 13820, USA"
Cartagena-Rafael Núñez AirportCTG),Colombia,"(4.570868, -74.297333)",Colombia,"(10.446315, -75.516454)","Aeropuerto Rafael Nuñez, Cartagena, Bolívar, Colombia"
San José-Juan Santamaria International AirportSJO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(9.9952711, -84.2083169)","Juan Santamaria International Airport, Provincia de Alajuela, San José, Costa Rica"
"Dallas/Fort Worth International Airport, TXDFW)",United States of America,"(37.09024, -95.712891)",United States,"(32.8998091, -97.0403352)","DFW International Airport (DFW), 2400 Aviation Dr N, DFW Airport, TX 75261, USA"
Krzemlin,Poland,"(51.919438, 19.145136)",Poland,"(53.0778773, 14.8813089)","Krzemlin, Poland"
Mossel Bay,South Africa,"(-30.559482, 22.937506)",South Africa,"(-34.1747356, 22.0834066)","Mossel Bay, South Africa"
Taichung-Ching Chuan Kang Air BaseRMQ/RCMQ),Taiwan,"(23.69781, 120.960515)",Taiwan,"(24.2595623, 120.6265333)","Taichung Airport (RMQ), No. 168中航路ㄧ段 Shalu District, Taichung City, Taiwan 433"
"near Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
München-Riem AirportMUC),Germany,"(51.165691, 10.451526)",Germany,"(48.3536621, 11.7750279)","Munich International Airport (MUC), Nordallee 25, 85356 München, Germany"
8 km5 mls) SW of Brønnøysund AirportBNN),Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
8 km5 mls) SW of Brønnøysund AirportBNN),Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
Axum AirportAXU),Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia,"(14.1443975, 38.7747708)","Axum Airport (AXU), Aksum, Ethiopia"
"near Maui, HI",United States of America,"(37.09024, -95.712891)",United States,"(20.7983626, -156.3319253)","Maui, Hawaii, USA"
Quelimane AirportUEL),Mozambique,"(-18.665695, 35.529562)",Mozambique,"(-17.855427, 36.868588)","Quelimane Airport, Quelimane, Mozambique"
Kudinovo,Russia,"(61.52401, 105.318756)",Russia,"(55.7701585, 38.2153344)","Kudinovo, Moskovskaya oblast', Russia, 142461"
near Bagdarin,Russia,"(61.52401, 105.318756)",Russia,"(54.4479459, 113.5909765)","Bagdarin, Buryatia, Russia, 671510"
"Seattle/Tacoma International Airport, WASEA)",United States of America,"(37.09024, -95.712891)",United States,"(47.4502499, -122.3088165)","Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA"
"Charleston, WV",United States of America,"(37.09024, -95.712891)",United States,"(38.3498195, -81.6326234)","Charleston, WV, USA"
Frankfurt International AirportFRA),Germany,"(51.165691, 10.451526)",Germany,"(50.0379326, 8.562151799999999)","Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany"
"Cima, CA",United States of America,"(37.09024, -95.712891)",United States,"(35.2377644, -115.4991602)","Cima, CA 92364, USA"
Tashkent-Yuzhny AirportTAS),Uzbekistan,"(41.377491, 64.585262)",Uzbekistan,"(41.257222, 69.281667)","Tashkent International Airport (TAS), Тошкент, Uzbekistan"
"over Jaboatão, PE",Brazil,"(-14.235004, -51.92528)",Brazil,"(-8.1653335, -34.9228569)","Av. Barreto de Menezes - Prazeres, Jaboatão dos Guararapes - PE, 54310-310, Brazil"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Lugano AirportLUG),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.0044161, 8.910109499999999)","Lugano Airport (LUG), Via Aeroporto, 6982 Agno, Switzerland"
"Kearns, UT",United States of America,"(37.09024, -95.712891)",United States,"(40.6599468, -111.9963275)","Kearns, UT 84118, USA"
"Montgomery-Maxwell AFB, ALMXF)",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
near Techamutete,Angola,"(-11.202692, 17.873887)",Angola,"(-15.2245029, 16.0463837)","Techamutete, Angola"
near Asmara International AirportASM),Eritrea,"(15.179384, 39.782334)",Eritrea,"(15.285, 38.901667)","Asmara,Eritrea International Airport (ASM), Hday St, Asmara, Ethiopia"
"Remington, IN",United States of America,"(37.09024, -95.712891)",United States,"(40.7608729, -87.1508522)","Remington, IN 47977, USA"
"5,6 km3.5 mls) SSE off  Toronto Island Airport, ONYTZ)",Canada,"(56.130366, -106.346771)",Canada,,
"off Pilas Island, Sulu Sea",Philippines,"(12.879721, 121.774017)",Philippines,"(6.6705556, 121.5933333)","Pilas Island, Bayan ng Hadji Muhtamad, Basilan, Philippines"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Beirut International AirportBEY),Lebanon,"(33.854721, 35.862285)",Lebanon,"(33.8193756, 35.4912043)","Beirut-Rafic Hariri International Airport, Beirut, Lebanon"
Stockholm-Arlanda AirportARN),Sweden,"(60.12816100000001, 18.643501)",Sweden,"(59.6497622, 17.9237807)","Stockholm Arlanda Airport (ARN), 190 45 Stockholm-Arlanda, Sweden"
Stockholm-Arlanda AirportARN),Sweden,"(60.12816100000001, 18.643501)",Sweden,"(59.6497622, 17.9237807)","Stockholm Arlanda Airport (ARN), 190 45 Stockholm-Arlanda, Sweden"
18 km11.3 mls) NE of Abidjan-Felix Houphouet Boigny AirportABJ),Cote d'Ivoire,"(7.539988999999999, -5.547079999999999)",Côte d'Ivoire,,
near Maimana,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(35.91784, 64.7755147)","Maymana, Afghanistan"
Algiers-Houari Boumediene AirportALG),Algeria,"(28.033886, 1.659626)",Algeria,"(36.6981425, 3.2067834)","Algiers International Airport Houari Boumediene, Dar El Beida, Algiers, Algeria"
Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt"
"near Decatur, TX",United States of America,"(37.09024, -95.712891)",United States,"(33.2342834, -97.5861393)","Decatur, TX 76234, USA"
25 km15.6 mls) NW of Cúcuta-Camilo Daza AirportCUC),Colombia,"(4.570868, -74.297333)",Colombia,,
Quetta AirportUET),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(30.2490734, 66.94881900000001)","Quetta International Airport (UET), 12 km south-west of the city, Airport Rd, Quetta, Pakistan"
"Washington-Dulles International Airport, DCIAD)",United States of America,"(37.09024, -95.712891)",United States,"(38.9531162, -77.45653879999999)","Dulles International Airport (IAD), 1 Saarinen Cir, Dulles, VA 20166, USA"
Ilorin AirportILR),Nigeria,"(9.081999, 8.675277)",Nigeria,"(8.4368425, 4.4951463)","Ilorin International Airport (ILR), A1, Ilorin, Nigeria"
near Ariza,India,"(20.593684, 78.96288)",India,"(41.3114455, -2.0579416)","50220 Ariza, Zaragoza, Spain"
Leningrad-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,"(59.79750310000001, 30.2686205)","Pulkovo Airport, Pulkovo Airport (LED), Sankt-Peterburg, Russia, 196210"
"1,6 km1 mls) E of Machault",France,"(46.227638, 2.213749)",France,,
unknown,Australia,"(-25.274398, 133.775136)",Australia,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
"Germiston, c. 13 km SW of Johannesburg International AirportJNB'",South Africa,"(-30.559482, 22.937506)",South Africa,,
near Girne Arap,Cyprus,"(35.126413, 33.429859)",Cyprus,"(37.8395752, 27.8465871)","Güzelhisar Mahallesi, 73. Sk., 09100 Efeler/Aydın, Turkey"
near Hennenman,South Africa,"(-30.559482, 22.937506)",South Africa,"(-27.9783916, 27.026445)","Hennenman, South Africa"
Surgut AirportSGC),Russia,"(61.52401, 105.318756)",Russia,"(61.339916, 73.40953)","Surgut Airport (SGC), Surgut, Khanty-Mansiyskiy avtonomnyy okrug, Russia, 628422"
Saskylakh,Russia,"(61.52401, 105.318756)",Russia,"(71.954308, 114.119835)","Saskylakh, Sakha Republic, Russia, 678440"
Dinard-Pleurtuit AirportDNR) ?,France,"(46.227638, 2.213749)",France,"(48.587893, -2.0792864)","Aéroport Dinard Bretagne, 35730 Pleurtuit, France"
"near Macaé Airport, RJMEA)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Kaohsiung International AirportKHH),Taiwan,"(23.69781, 120.960515)",Taiwan,"(22.574629, 120.3448068)","Kaohsiung International Airport (KHH), Zhongshan 4th Road, Xiaogang District, Kaohsiung City, Taiwan 812"
"1,5 km0.9 mls) W of Raleigh/Durham Airport, NCRDU)",United States of America,"(37.09024, -95.712891)",United States,,
near Campeche,Mexico,"(23.634501, -102.552784)",Mexico,"(18.931225, -90.2618068)","Campeche, Mexico"
"Lake Ontario, ON",Canada,"(56.130366, -106.346771)",Canada,"(43.6333482, -77.82706689999999)",Lake Ontario
Hanoi-Noibai AirportHAN),Vietnam,"(14.058324, 108.277199)",Vietnam,"(21.2187149, 105.8041709)","Noi Bai International Airport (HAN), Phú Minh, Sóc Sơn, Hà Nội, Vietnam"
"Springfield Airport, OHSGH)",United States of America,"(37.09024, -95.712891)",United States,,
"Tuting, Arunachal Pradesh",India,"(20.593684, 78.96288)",India,"(28.9930167, 94.89493159999999)",Tuting 791105
Luanda-4 de Fevereiro AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola"
Berlin-Schönefeld AirportSXF),Germany,"(51.165691, 10.451526)",Germany,"(52.38544109999999, 13.5216148)","Berlin Schönefeld Airport (SXF), Flughafen Schönefeld, 12521 Berlin, Germany"
nr Dahomo,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Vereda el Salitre,Colombia,"(4.570868, -74.297333)",Colombia,"(4.67726, -73.97138)","Vda. El Salitre, La Calera, Cundinamarca, Colombia"
Dar Es Salaam International AirportDAR),Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-6.872538899999999, 39.2069164)","Julius Nyerere International Airport, Julius K. Nyerere Rd, Dar es Salaam, Tanzania"
"Wheeling-Ohio County Airport, WVHLG)",United States of America,"(37.09024, -95.712891)",United States,"(40.176319, -80.646965)","Ohio County Airport, 1500 Chapline St, Wheeling, WV 26003, USA"
3 km1.9 mls) W of Paramaribo-Zanderij International AirportPBM),Suriname,"(3.919305, -56.027783)",Suriname,,
Palma de Mallorca AirportPMI),Spain,"(40.46366700000001, -3.74922)",Spain,"(39.5517407, 2.7361649)","Palma de Mallorca Airport (PMI), 07611 Palma, Illes Balears, Spain"
near Zella,Libya,"(26.3351, 17.228331)",Libya,"(41.917455, -87.658367)","1983 N Clybourn Ave, Chicago, IL 60614, USA"
-Hato International AirportCUR),Curaçao,"(12.16957, -68.99002)",Curaçao,"(12.188463, -68.960945)","Curaçao International Airport (CUR), Plasa Margaret Abraham, Curaçao"
Punta Bojórquez,Mexico,"(23.634501, -102.552784)",Mexico,"(29.1042306, -111.0090149)","Calle Juan de Dios Bojórquez, Hermosillo, Son., Mexico"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Colville Lake Airport, NTYCK)",Canada,"(56.130366, -106.346771)",Canada,,
Bubocu,Romania,"(45.943161, 24.96676)",Romania,"(45.2096309, 26.932924)","Gara Bobocu 127192, Romania"
2 km1.3 mls) N of Kettwig,Germany,"(51.165691, 10.451526)",Germany,,
"Grenville Channel, BC",Canada,"(56.130366, -106.346771)",Canada,,
Karlovy Vary AirportKLV),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.2029424, 12.9147646)","Karlovy Vary Airport (KLV), K Letišti 132, 360 01 Karlovy Vary, Czechia"
"8 km5 mls) from  De Kalb Airport, IL",United States of America,"(37.09024, -95.712891)",United States,,
Zabol AirportACZ),Iran,"(32.427908, 53.688046)",Iran,,
"near Bronson Creek, BC",Canada,"(56.130366, -106.346771)",Canada,"(56.7, -131.0)","Bronson Creek Airport, Bronson Creek, BC V9C 4A7, Canada"
Torino-Aeritalia AirportLIMA),Italy,"(41.87194, 12.56738)",Italy,"(45.0858002, 7.6022478)","Aero Club Torino, Strada della Berlia, 500, 10093 Torino, Italy"
100 km62.5 mls) E of Huaral,Peru,"(-9.189967, -75.015152)",Peru,,
Dar Es Salaam International AirportDAR),Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-6.872538899999999, 39.2069164)","Julius Nyerere International Airport, Julius K. Nyerere Rd, Dar es Salaam, Tanzania"
"Unalakleet Airport, AKUNK)",United States of America,"(37.09024, -95.712891)",United States,,
Nairobi-Jomo tta International AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,"(-1.3227102, 36.9260693)","Jomo Kenyatta International Airport (NBO), Embakasi, Nairobi, Kenya"
near Puerto Maldonado,Peru,"(-9.189967, -75.015152)",Peru,"(-12.5909084, -69.1963141)","Puerto Maldonado, Peru"
"Derby Airport, WADRB)",Australia,"(-25.274398, 133.775136)",Australia,,
"0,6 km0.4 mls) SW of Dolbizno, Kamenets District, Brest Region",Belarus,"(53.709807, 27.953389)",Belarus,,
"Azusa, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.1336186, -117.9075627)","Azusa, CA, USA"
near Oskarshamn AirportOSK),Sweden,"(60.12816100000001, 18.643501)",Sweden,,
Portland Harbour,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.58420520000001, -2.4462857)","Portland Harbour, United Kingdom"
"0,7 km0.4 mls) from  Columbia-Maury County Airport, TNMRC)",United States of America,"(37.09024, -95.712891)",United States,,
Bangkok International AirportBKK),Thailand,"(15.870032, 100.992541)",Thailand,"(13.6899991, 100.7501124)","Suvarnabhumi Airport (BKK), 999 หมู่ 1 Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand"
"Durango-La Plata Airport, CODRO)",United States of America,"(37.09024, -95.712891)",United States,"(37.1506067, -107.7532559)","Durango-La Plata County Airport, 1000 Airport Rd, Durango, CO 81303, USA"
"Durango-La Plata Airport, CODRO)",United States of America,"(37.09024, -95.712891)",United States,"(37.1506067, -107.7532559)","Durango-La Plata County Airport, 1000 Airport Rd, Durango, CO 81303, USA"
within Darién Province,Panama,"(8.537981, -80.782127)",Panama,"(7.7361, -77.54719999999999)","Darien National Park, Panama"
Rouen,France,"(46.227638, 2.213749)",France,"(49.44323199999999, 1.099971)","Rouen, France"
Toulouse-Blagnac AirportTLS),France,"(46.227638, 2.213749)",France,"(43.6293863, 1.367682)","Toulouse-Blagnac Airport (TLS), 31703 Blagnac, France"
40 km25 mls) E of San Carlos,Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
"8 km5 mls) NE of Durango-La Plata Airport, CODRO)",United States of America,"(37.09024, -95.712891)",United States,,
near Green Island AirportGNI),Taiwan,"(23.69781, 120.960515)",Taiwan,"(22.6723616, 121.4668634)","Green Island Airport (GNI), Lvdao Township, Taitung County, Taiwan 951"
"1,6 km1 mls) S of Charlotte-Douglas Airport, NCCLT)",United States of America,"(37.09024, -95.712891)",United States,,
near Nizhnevartovsk AirportNJC),Russia,"(61.52401, 105.318756)",Russia,,
Krasnovodsk AirportKRW),Turkmenistan,"(38.969719, 59.556278)",Turkmenistan,,
Colorado Mountain,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(39.6477095, -106.5872261)","4426, 434 Edwards Access Rd, Edwards, CO 81632, United States"
ca 32 km SW of Chongqing AirportCKG),China,"(35.86166, 104.195397)",China,,
"Houston-William P. Hobby Airport, TXHOU)",United States of America,"(37.09024, -95.712891)",United States,"(29.6452718, -95.2773289)","William P. Hobby Airport (HOU) (HOU), 7800 Airport Blvd, Houston, TX 77061, USA"
"Vancouver International Airport, BCYVR)",Canada,"(56.130366, -106.346771)",Canada,"(49.1966913, -123.1815123)","Vancouver International Airport (YVR), 3211 Grant McConachie Way, Richmond, BC V7B 0A4, Canada"
Lugano AirportLUG),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.0044161, 8.910109499999999)","Lugano Airport (LUG), Via Aeroporto, 6982 Agno, Switzerland"
"Hamilton Airport, ONYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada"
"Hamilton Airport, ONYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada"
"near Summerland Key, FL",United States of America,"(37.09024, -95.712891)",United States,"(24.6656987, -81.4423048)","Summerland Key, FL 33042, USA"
unknown,Belgium,"(50.503887, 4.469936)",Belgium,"(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
Sechenovo,Russia,"(61.52401, 105.318756)",Russia,"(55.2313222, 45.8961808)","Sechenovo, Nizhegorodskaya oblast', Russia"
"7,5 km4.7 mls) S of Decatur Airport, ILDEC)",United States of America,"(37.09024, -95.712891)",United States,,
Barranquilla,Colombia,"(4.570868, -74.297333)",Colombia,"(11.0041072, -74.80698129999999)","Barranquilla, Atlantico, Colombia"
Fuzhou AirportFOC),China,"(35.86166, 104.195397)",China,"(25.9306382, 119.6701958)","Fuzhou Changle International Airport (FOC), Changle Shi, Fuzhou Shi, Fujian Province, China"
Tatarski,Russia,"(61.52401, 105.318756)",Russia,"(49.868809, 19.676863)","Sądowa 11, 34-130 Kalwaria Zebrzydowska, Poland"
near Wriezen,Germany,"(51.165691, 10.451526)",Germany,"(52.7197233, 14.133275)","Wriezen, Germany"
Léoncel,France,"(46.227638, 2.213749)",France,"(44.910796, 5.193535)","26190 Léoncel, France"
"6,5 km4.1 mls) from  Pensacola Regional Airport, FLPNS)",United States of America,"(37.09024, -95.712891)",United States,,
Luena,Angola,"(-11.202692, 17.873887)",Angola,"(-11.7714258, 19.8901427)","Luena, Angola"
Iquitos AirportIQT),Peru,"(-9.189967, -75.015152)",Peru,"(-3.784721999999999, -73.308611)","Coronel FAP Francisco Secada Vignetta International Airport (IQT), Distrito de Iquitos a 6.0 Km. de la ciudad, Región de Loreto, Provincia de Maynas, Peru"
Laoag AirportLAO),Philippines,"(12.879721, 121.774017)",Philippines,"(18.1821053, 120.5317806)","Laoag International Airport (LAO), Laoag City, Ilocos Norte, Philippines"
Baku AirportBAK),Azerbaijan,"(40.143105, 47.576927)",Azerbaijan,"(40.4650264, 50.0522984)","Heydar Aliyev International Airport, AZ1109, settlement, Baku, Azerbaijan"
Palangkaraya-Tjilik Riwut AirportPKY),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-2.2323562, 113.9489615)","Bandara Tjilik Riwut Baru, Panarung, Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia"
Frankfurt International AirportFRA),Germany,"(51.165691, 10.451526)",Germany,"(50.0379326, 8.562151799999999)","Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany"
Jeddah,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(21.2854067, 39.2375507)",Jeddah Saudi Arabia
Bougainville,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.375391899999999, 155.3807101)","Bougainville Island, Papua New Guinea"
"2 km1.3 mls) W of São Paulo-Guarulhos International Airport, SPGRU)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"near Saginaw, TX",United States of America,"(37.09024, -95.712891)",United States,"(32.8601275, -97.3639068)","Saginaw, TX, USA"
Tiraora Lodge,New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.080603, 173.867927)","Tiraora Bay, Tira Ora Nature and Wildlife Sanctuary, 7150, New Zealand"
"Lafayette-Purdue University Airport, INLAF)",United States of America,"(37.09024, -95.712891)",United States,"(40.4131203, -86.9406509)","Purdue University Airport, 1501 Aviation Drive, West Lafayette, IN 47907, USA"
"5,6 km3.5 mls) NNE of Phu Toey",Thailand,"(15.870032, 100.992541)",Thailand,,
10 km6.3 mls) S of Kermanshah AirportKSH),Iran,"(32.427908, 53.688046)",Iran,,
Leningrad-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,"(59.79750310000001, 30.2686205)","Pulkovo Airport, Pulkovo Airport (LED), Sankt-Peterburg, Russia, 196210"
Bauchi AirportBCU),Nigeria,"(9.081999, 8.675277)",Nigeria,"(10.299538, 9.8176457)","Bauchi Airport (BCU), Ahmadu Bello Way, Bauchi, Nigeria"
Irkutsk-2 Airport,Russia,"(61.52401, 105.318756)",Russia,"(52.2685014, 104.3833366)","International Airport Irkutsk (IKT), ul. Shiryamova, 13, Irkutsk, Irkutskaya oblast', Russia, 664000"
ca 1 km N of Villavicencio-La Vanguardia AirportVVC),Colombia,"(4.570868, -74.297333)",Colombia,,
Beni AirportBNC),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
15 km9.4 mls) SE of Manado-Sam Ratulangi AirportMDC),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Aguadilla-Borinquen AirportBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.4953957, -67.1355779)","Rafael Hernández Airport (BQN), 405 Hangar, Aguadilla Pueblo, Aguadilla 00604, Puerto Rico"
"Cameron Lake, BC",Canada,"(56.130366, -106.346771)",Canada,"(49.2932861, -124.6330303)","Cameron Lake, Nanaimo F, BC, Canada"
"Shreveport, LA",United States of America,"(37.09024, -95.712891)",United States,"(32.5251516, -93.7501789)","Shreveport, LA, USA"
"Shreveport, LA",United States of America,"(37.09024, -95.712891)",United States,"(32.5251516, -93.7501789)","Shreveport, LA, USA"
"Shreveport, LA",United States of America,"(37.09024, -95.712891)",United States,"(32.5251516, -93.7501789)","Shreveport, LA, USA"
"15 km9.4 mls) from  Bowling Green, KY",United States of America,"(37.09024, -95.712891)",United States,,
"Oxford-Waterbury Airport, CTOXC)",United States of America,"(37.09024, -95.712891)",United States,,
"Hartford-Bradley International Airport, CTBDL)",United States of America,"(37.09024, -95.712891)",United States,"(41.9388735, -72.68603139999999)","Bradley International Airport (BDL), Schoephoester Rd, Windsor Locks, CT 06096, USA"
Moscow,Russia,"(61.52401, 105.318756)",Russia,"(55.755826, 37.6173)","Moscow, Russia"
ca 2km N off Cocos Islands AirportCCK)Cocos,Keeling) Islands,"(-12.1706919, 96.8417478)",Cocos (Keeling) Islands,,
1 km0.6 mls) WNW off  Nuku Hiva AirportNHV),French Polynesia,"(-17.679742, -149.406843)",French Polynesia,,
"Red Lake Airport, ONYRL)",Canada,"(56.130366, -106.346771)",Canada,"(51.0669864, -93.7941053)","Red Lake Airport, 2508 Hwy 125, Cochenour, ON P0V 1L0, Canada"
"3 km1.9 mls) W of Brunswick-Glynco Jetport, GABQK)",United States of America,"(37.09024, -95.712891)",United States,,
"Thutade Lake, BC",Canada,"(56.130366, -106.346771)",Canada,"(56.8777487, -126.9978028)","Thutade Lake, Peace River B, BC V0J, Canada"
Algiers-Houari Boumediene AirportALG),Algeria,"(28.033886, 1.659626)",Algeria,"(36.6981425, 3.2067834)","Algiers International Airport Houari Boumediene, Dar El Beida, Algiers, Algeria"
near Medellín-Enrique Olaya Herrera AirportEOH),Colombia,"(4.570868, -74.297333)",Colombia,"(6.218749900000001, -75.58696739999999)","Olaya Herrera Airport, Carrera 65A #13-157, Medellín, Antioquia, Colombia"
near Kuito,Angola,"(-11.202692, 17.873887)",Angola,"(-12.3940412, 16.9417632)","Kuito, Angola"
